data_split,label,cae_mse_mean,cae_mse_std,jpeg_mse_mean,jpeg_mse_std,delentropy_mean,delentropy_std
baseline,-,0.08336373674226738,0.0452593115531801,6.145337072030942,4.664094499460927,1.688629928350708,0.2014312695694757
val,negative,0.08736030918126009,0.009156033989388803,1.9172889801845627,0.4706668876176299,1.503194084615468,0.07116767317848
val,positive,0.09012552680304413,0.012389446310714477,2.3587091667867512,0.4628078931411399,1.546377720521388,0.046755150033282
